116,357,2030,2055,645558
202,665,1465,1471,646399
221,692,1734,1735,645839
203,1801,1044,1179,645976
230,258,1998,1998,645746
100,1160,1112,1113,646615
105,812,1814,1760,645614
108,95,1760,1668,646477
121,1181,685,682,647452
122,2290,186,186,647338
104,405,1730,1824,646041
208,938,1999,2017,645046
111,84,2072,2040,645804
115,185,1768,1768,646279
232,0,1834,1780,646386
217,0,2226,2208,645566
107,0,2151,2137,645712
214,401,1890,1861,645848
205,1257,1386,1399,645958
234,1143,1610,1610,645637
112,1095,1449,1444,646012
228,1074,1125,979,646822
209,821,2186,2184,644809
207,0,2130,1860,646010
220,189,1858,1859,646094
201,459,1477,1504,646560
212,1490,1259,1258,645993
222,1102,1327,1381,646190
213,1738,1509,1513,645240
231,1369,202,202,648227
119,463,1536,1524,646477
114,316,1952,1563,646169
109,31,2499,2501,644969
200,291,2314,2310,645085
101,655,1212,1210,646923
118,1,2278,2277,645444
210,1490,1130,1160,646220
124,310,1307,1309,647074
102,100,2087,2087,645726
219,523,1629,1631,646217
103,826,1254,1258,646662
117,2,3040,1533,645425
123,246,1274,1272,647208
223,54,2531,2551,644864
113,813,1037,982,647168
215,674,2688,2689,643949
106,789,1236,1238,646737
233,1004,2084,2075,644837
